Name,Team,Time
Conner Mantz,BYU,29:39.60
Nico Young,Northern Arizona,29:40.80
Casey Clinger,BYU,29:42.90
Christian Allen,Weber State,29:43.40
Eduardo Herrera,Colorado,29:46.50
Abdihamid Nur,Northern Arizona,29:49.30
Christian Ricketts,Southern Utah,29:54.50
Brandon Garnica,BYU,29:58.50
Aidan Troutner,BYU,30:04.20
Drew Bosley,Northern Arizona,30:07.00
Duncan Hamilton,Montana State,30:08.00
Abdirizak Ibrahim,New Mexico,30:10.90
Ryan Raff,Northern Arizona,30:13.30
Matthew Richtman,Montana State,30:14.50
Stephen Jones,Colorado,30:14.60
Austin Vancil,Colorado,30:15.10
Ben Perrin,Montana State,30:15.40
Ryan Johnson,Air Force,30:15.80
Scott Maison,Air Force,30:17.40
Taylor Dillon,Weber State,30:17.60
Davin Thompson,BYU,30:18.80
Ryan Ioanidis,Air Force,30:21.50
Alec Hornecker,Colorado,30:24.10
Brendan Fraser,Colorado,30:24.80
Nate Osterstock,Southern Utah,30:25.30
Theo Quax,Northern Arizona,30:29.60
Darren Harman,Utah State,30:31.20
Charlie Sweeney,Colorado,30:31.40
Chase Leach,Utah State,30:32.70
Brodey Hasty,Northern Arizona,30:33.70
Dallin Leatham,Weber State,30:34.50
Andrew Kent,Colorado,30:34.80
Kevin Ramos,Southern Utah,30:35.60
Sam Gilman,Air Force,30:39.00
Caleb Garnica,Utah State,30:44.70
Mason Brown,Colorado St.,30:53.40
Luke Combs,Air Force,30:56.10
Geofrey Kemboi,Utah Valley,30:57.60
Tanner Norman,Colorado St.,31:00.20
Jacob Brueckman,Colorado St.,31:00.80
Mark Crandall,Utah State,31:04.40
Brock Dykema,Colorado St.,31:08.10
Isaiah Labra,Southern Utah,31:11.60
Jacob Francis,Southern Utah,31:12.10
Bridger Altice,Utah State,31:12.20
Oisin O Gailin,Wyoming,31:19.00
Bronson Winter,Weber State,31:20.30
Connor Weaver,Utah State,31:21.00
Joey Nokes,BYU,31:24.70
Travis Feeny,Southern Utah,31:25.30
Britain Reynolds,Utah Valley,31:30.40
Zachary Montoya,Idaho State,31:32.90
Logan Anderson,Weber State,31:33.20
Rodgers Korir,UTEP,31:33.20
Peter Visser,Weber State,31:33.30
Jacob Stone,Weber State,31:39.40
Albert Steiner,Wyoming,31:39.80
Santiago Prosser,Northern Arizona,31:39.90
Dawson Besst,Colorado St.,31:40.30
Max Mahon,Utah Valley,31:44.70
Seth Bruxvoort,Wyoming,31:47.60
Gabriel Armijo,UTEP,31:48.00
Andrew Ribeiro,Nevada,31:48.60
Daniel Sayo,Nevada,31:52.60
Mason Norman,Wyoming,31:55.10
Owen Smith,Montana State,31:56.60
Sean Maison,Air Force,31:57.90
Camren Todd,Utah State,31:59.50
Levi Taylor,Montana State,32:01.30
Habtamu Cheney,Utah Valley,32:01.60
Adam Sjolund,Nevada,32:02.60
Joel Mendez,Montana,32:05.60
Awet Yohannes,New Mexico,32:09.20
Cal Banta,Colorado St.,32:09.60
Zac Jacklin,BYU,32:09.60
Anekin Hetman,New Mexico St.,32:12.50
Juan Olmos,UTEP,32:14.80
Jared Marchegger,Nevada,32:17.10
Carson Leavitt,Nevada,32:17.70
Gus McIntyre,Wyoming,32:19.90
Max Spence,Southern Utah,32:23.20
Maxwell Kipkosgei,UTEP,32:24.70
Josh Peters,Utah Valley,32:25.40
Thomas Chaston,Colorado St.,32:26.30
Iolo Hughes,New Mexico,32:28.10
Kenneth Talavera,UTEP,32:34.10
Jerald Taylor,Wyoming,32:40.20
D'Artangnan Kilgore,Idaho State,32:41.30
AJ Kedge,Air Force,32:48.80
Austin Hone,Utah Valley,32:51.80
Riley Collins,Montana State,32:52.20
Cooper West,Montana State,33:05.20
Jordan Hansen,Montana,33:05.60
Alexander Mendoza,Nevada,33:06.10
Brian Kipchumba,Nevada,33:08.60
Kale Sharp,Utah Valley,33:11.30
Matthew Larkin,New Mexico,33:19.40
Ben Vanderbosch,Montana,33:19.80
Trevor Stephen,Wyoming,33:19.80
Michael Sims,UTEP,33:25.40
Micah Too,New Mexico St.,33:28.90
Matt Goddard,New Mexico St.,33:33.60
Eric Christen,Idaho State,33:37.00
Ret Taylor,Texas Tech,33:42.90
Thomas Velvin,Texas Tech,33:43.10
Reece Donihi,New Mexico,33:44.00
Sam Jones,Idaho State,33:45.10
August Eckmann,Montana,33:56.20
Jaden Tumale,Texas Tech,34:03.20
Maxwell Scott,Montana,34:14.50
Cole Shugart,New Mexico St.,34:16.20
Walker Hendricks,Texas Tech,34:23.70
Brandon Walker,Idaho State,34:32.00
Thomas Mordy,Montana,34:32.20
Edward (EJ) Rush,Texas Tech,34:51.70
Samuel Ashley,Texas Tech,34:57.00
Luke Estes,Texas Tech,35:38.50
Dylan Mannion,Idaho State,35:51.50
Collin Dylla,Idaho State,
