Name,Team,Time
Conner Mantz,Brigham Young University,22:17.50
Christian Allen,Weber State University,22:32.00
Aidan Troutner,Brigham Young University,22:33.40
Dallin Leatham,Weber State University,22:38.50
Brandon Garnica,Brigham Young University,22:52.40
Taylor Dillon,Weber State University,22:59.10
Lucas Bons,Brigham Young University,23:07.10
Adam Wood,Brigham Young University,23:08.60
Creed Thompson,Brigham Young University,23:12.10
Jacob Stone,Weber State University,23:25.20
Bronson Winter,Weber State University,23:27.20
Jared Gonzalez-Perez,Unattached,23:29.90
Logan Anderson,Weber State University,23:32.80
Joey Nokse,Unattached,23:34.10
Zac Jacklin,Brigham Young University,23:36.20
Justin Hartshorn,Brigham Young University,23:40.20
Davin Thompson,Unattached,23:40.40
Curt Crossley,Weber State University,23:40.80
McKay Johns,Unattached,23:43.80
Kevin Kirk,Dixie State University,23:56.00
Peter Visser,Weber State University,24:01.40
Zack Ericksen,Unattached,24:02.50
William Handley,Unattached,24:03.90
Conner Cox,Weber State University,24:06.20
Aaron Leavens,Unattached,24:08.20
Taylor Knight,Unattached,24:11.20
Josh McAdams,BYU XC Alumni,24:13.00
Evan Harris,Unattached,24:13.40
Josh Ericksen,Unattached,24:17.50
John Hedengren,BYU XC Alumni,24:20.00
Joey Perez,Unattached,24:22.20
Takumi Ford,Unattached,24:25.60
Rex Martin,Dixie State University,24:31.50
Jackson Pratt,Unattached,24:35.40
John Hunter,Unattached,24:36.50
Justin Levine,Unattached,24:40.40
Zachary Erikson,Unattached,24:52.90
Marcus Heemeyer,Unattached,24:53.60
Nicholas Roach,Dixie State University,24:54.80
Tracen Warnick,Weber State University,24:56.50
Noah Ayala,Dixie State University,24:58.20
Simon Mitchell,Unattached,24:58.40
Nick Siddoway,Unattached,24:59.40
Wesley Kallgren,Unattached,25:01.00
Brian Schulz,Dixie State University,25:01.20
Kenneth Merrell,College of Southern Idaho,25:10.60
Zachary Christensen,Unattached,25:14.40
Jon Harper,BYU XC Alumni,25:15.50
Carson Wilkins,Weber State University,25:16.90
Shane Gard,College of Southern Idaho,25:20.90
Kallen Webster,Dixie State University,25:33.10
Dallin Farnsworth,BYU XC Alumni,25:34.30
Zachary Garner,Unattached,25:41.40
Nathaniel Garner,Unattached,25:45.60
George Showers,College of Southern Idaho,25:45.70
Sebastian Fernandez,Unattached,25:48.70
Benjamin Dastrup,Unattached,25:53.00
Joseph Carwin,Unattached,25:57.60
Ethan Robbins,College of Southern Idaho,25:59.90
Jack Woods,Unattached,26:02.10
Chris Barrientos,Unattached,26:02.30
Dalton Brems,Unattached,26:03.30
Ben Fish,Dixie State University,26:04.00
Andrew Allen,Dixie State University,26:09.00
Pedro Rios,College of Southern Nevada,26:10.30
Brad Murray,Unattached,26:15.80
Quinton Read,Dixie State University,26:19.00
Jayson Call,Unattached,26:22.00
Ethan Kelley,Dixie State University,26:26.30
Travis Fuller,BYU XC Alumni,26:32.10
Joshua Perry,Unattached,26:33.40
Ali Juarez,College of Southern Idaho,26:33.50
David Endicott,College of Southern Idaho,26:36.30
Noah Espeleta,College of Southern Nevada,26:49.20
Kelson Smith,College of Southern Idaho,26:57.70
Gavin Maxwell,Unattached,26:58.90
Sam Fish,Dixie State University,27:03.20
Conner Peloquin,BYU XC Alumni,27:03.80
Iain Hunter,BYU XC Alumni,27:10.60
Benjamin Vernon,College of Southern Idaho,27:14.00
Vance Smith,Unattached,27:21.90
Josh Rohatinsky,BYU XC Alumni,27:45.20
William Moniz-Shawk,College of Southern Idaho,27:48.00
Matt Burns,Unattached,27:56.20
Gato Nsengiyumva,College of Southern Idaho,28:00.20
Joshua Frey,Unattached,28:03.70
Julien Canales,Dixie State University,28:10.80
Jared Murphy,Unattached,28:25.60
Michael Bregg,Unattached,28:39.70
Maximus Shambaugh,College of Southern Nevada,28:44.40
Logan Dana,Unattached,28:59.80
Mack Richards,Unattached,29:05.80
Koa Shutt,Unattached,29:07.60
Prince Alipustain,College of Southern Nevada,29:09.70
Chase Nunn,College of Southern Nevada,29:42.50
Kolby Cazier,College of Southern Idaho,29:59.70
Carter Paxton,Unattached,30:07.60
Tyler Duke,Unattached,30:10.20
Juward Peebles,College of Southern Nevada,30:40.60
Jacob Garcia,College of Southern Nevada,31:14.60
Anton Alley,Unattached,32:49.40
Robert Zemp,College of Southern Idaho,35:16.40
