Name,Team,Time
Abdihamid Nur,Northern Arizona,23:55.60
Duncan Hamilton,Montana State,23:58.10
Stefen Rasmuson,Southern Utah,24:00.00
Ryan Raff,Northern Arizona,24:02.70
Aidan Reed,Southern Utah,24:07.70
Nate Osterstock,Southern Utah,24:08.60
Taylor Dillon,Weber State,24:13.60
Drew Bosley,Northern Arizona,24:21.80
Brodey Hasty,Northern Arizona,24:24.10
Christian Ricketts,Southern Utah,24:27.40
Isaiah Labra,Southern Utah,24:29.40
Christian Allen,Weber State,24:32.00
Santiago Gaitan,Southern Utah,24:36.00
Austin Byrer,Weber State,24:37.20
Bronson Winter,Weber State,24:40.90
Aldo Marquez,Northern Arizona,24:43.50
Travis Feeny,Southern Utah,24:48.90
Cade Burks,Northern Arizona,24:51.10
Dallin Leatham,Weber State,25:00.30
Collin Buck,Montana State,25:05.80
Caleb Easton,Northern Arizona,25:08.00
Matthew Richtman,Montana State,25:13.00
Keynan Abdi,Portland State,25:13.40
Ben Perrin,Montana State,25:18.40
Levi Taylor,Montana State,25:21.10
Luke Ramirez,Portland State,25:24.40
Joshua Snyder,Portland State,25:31.90
Ashton Hysell,Idaho State,25:33.60
D'Artangnan Kilgore,Idaho State,25:34.40
Jacob Francis,Southern Utah,25:35.00
Cooper West,Montana State,25:37.40
Jacob Stone,Weber State,25:39.40
Gabriel Dinnel,Idaho,25:43.00
Shane Marshall,Sacramento St.,25:45.00
Garrett Condelario,Idaho State,25:50.20
Zachary Montoya,Idaho State,25:52.40
Tim Stevens,Idaho,25:53.60
Carter Ledwith,Eastern Washington,25:55.70
Samuel Lingwall,Portland State,25:55.80
Joel Mendez,Montana,26:01.20
Shea Mattson,Idaho,26:03.50
Kyle Peterson,Montana,26:06.80
Logan Anderson,Weber State,26:09.70
Truman Cowan,Montana,26:10.30
Nathan Carter,Montana,26:11.50
Collin Dylla,Idaho State,26:14.90
Hunter May,Montana,26:17.70
Evan Peters,Portland State,26:22.10
Will Dauenhauer,Montana,26:23.00
Joe Simmons,Idaho State,26:23.30
Michael McCausland,Idaho,26:27.90
Sam Fulbright,Idaho,26:29.30
Isaac Schmidt,Montana State,26:30.50
Krey Ramsey,Weber State,26:37.40
Aiden Maddison,Sacramento St.,26:42.50
August Eckmann,Montana,26:44.60
Camden McChesney,Portland State,26:55.60
Maxwell Scott,Montana,27:03.70
Zachary Witman,Portland State,27:04.90
Ben Shaw,Idaho,27:07.30
Brandon Walker,Idaho State,27:09.20
Ruben Garcia,Sacramento St.,27:16.60
Alec Kness,Eastern Washington,27:22.90
Jesse Hayward,Northern Colorado,27:26.40
Timo Dohm,Idaho,27:30.30
Caden Byrer,Idaho State,27:30.50
Nick Carter,Sacramento St.,27:45.20
Jacob Polivka,Sacramento St.,27:46.80
Jamie Christner,Eastern Washington,27:49.30
Timothy Chambers,Northern Colorado,27:50.30
Jacob Stirpe,Eastern Washington,28:00.00
Lucas Robert,Eastern Washington,28:25.40
Danny Maxwell,Eastern Washington,28:27.30
Drew Whited,Eastern Washington,29:06.80
DeMario Mootz,Northern Colorado,29:38.60
Aidan Anastas,Northern Colorado,30:22.90
Drew Peters,Northern Colorado,31:46.00
Noah Smith,Northern Colorado,35:00.50
Truett Bostwick,Portland State,
Ethan Green,Eastern Washington,
Jack Sloan,Eastern Washington,
